Name,Identity,Status,Gender,Alignment,Race,Height,Weight,EyeColor,HairColor,SkinColor,Publisher,Year,Appearances,FirstAppearance,AdditionalData
Caesar Cicero,,Living,Male,Bad,,,,,Brown,,Marvel,1969,19,6/1/69,
Victor Frankenstein,Public,Living,Male,Neutral,,,,Blue,Brown,,Marvel,1969,19,8/1/69,
Darren Bentley,Secret,Deceased,Male,Bad,,,,,,,Marvel,1970,19,1/1/70,
Jenna,No Dual,Living,Female,Neutral,,,,Blue,Blond,,Marvel,1971,19,6/1/71,
Kulan Gath,No Dual,Living,Male,Bad,,,,,,,Marvel,1972,19,3/1/72,
Patricia Starr,Public,Living,Female,Good,,,,Blue,Blond,,Marvel,1972,19,9/1/72,
Thulsa Doom,Secret,Living,Male,Bad,,,,Blue,White,,Marvel,1972,19,4/1/72,
Linda Littletrees,Secret,Living,Female,Neutral,,,,Brown,Black,,Marvel,1973,19,6/1/73,
Agamotto,Secret,Deceased,Male,Neutral,,,,Variable,Variable,,Marvel,1974,19,6/1/74,
Harold Meachum,,Deceased,Male,Bad,,,,,Grey,,Marvel,1974,19,5/1/74,
Abner Little,Public,Deceased,Male,,,,,Blue,Black,,Marvel,1977,19,1/1/77,
Astra,Secret,Living,Female,Neutral,,,,White,Red,,Marvel,1977,19,10/1/77,Imperial Guard
Astra,Secret,Living,Female,Bad,,,,Blue,Black,,Marvel,1999,10,3/1/99,Mutant
Astra,Secret,Living,Female,Good,,,,,,,Marvel,1981,4,12/1/81,Spaceknight
Astra,No Dual,Deceased,Female,Good,,,,Blue,Blond,,Marvel,1993,2,1/1/93,Polemachus
Byron Calley,Secret,Living,Male,Bad,,,,Blue,White,,Marvel,1977,19,11/1/77,
Hobgoblin,Secret,Deceased,Male,Neutral,,180,83,Yellow,Bald,,Marvel,1977,19,10/1/77,Imperial Guard
Hobgoblin,Secret,Deceased,Male,Bad,,180,83,Brown,Black,,Marvel,2013,2,1/1/13,Claude
Lance Hunter,No Dual,Living,Male,Good,,,,Blue,Grey,,Marvel,1977,19,2/1/77,
Maria Carbonell,Public,Living,Female,Neutral,,,,Brown,Grey,,Marvel,1977,19,11/1/77,
Rick Rojatt,Secret,Living,Male,Good,,,,,,,Marvel,1977,19,9/1/77,
Scintilla,Secret,Living,Female,Neutral,,,,Blue,Red,,Marvel,1977,19,10/1/77,
Zanda,Public,Deceased,Female,,,,,Brown,Black,,Marvel,1977,19,1/1/77,
Denise Baranger,Secret,Deceased,Female,Bad,,,,Violet,Black,,Marvel,1978,19,1/1/78,
Josef Saint,Secret,Deceased,Male,Bad,,,,,Grey,,Marvel,1978,19,12/1/78,
Amahl Farouk,Secret,Living,Male,Bad,,,,,Bald,,Marvel,1979,19,1/1/79,
Ray Landers,,Living,Male,Good,,,,Brown,Black,,Marvel,1980,19,12/1/80,
Flying Tiger,Secret,Living,Male,Bad,,,,,,,Marvel,1981,19,10/1/81,
Victoria Star,Public,Living,Female,Good,,,,Blue,Blond,,Marvel,1981,19,11/1/81,
James McDonald,Public,Living,Male,Good,,,,Brown,Brown,,Marvel,1982,19,5/1/82,
Luke Merriweather,Secret,Living,Male,Good,,,,Blue,Blond,,Marvel,1982,19,7/1/82,
Eitri,Public,Living,Male,Good,,,,Brown,Brown,,Marvel,1983,19,11/1/83,
Francis Tork,,Living,Male,Good,,,,,,,Marvel,1983,19,11/1/83,
Tundra,Public,Living,,Bad,,,,,,,Marvel,1983,19,8/1/83,
Tundra,,Living,Female,Good,,,,,,,DC,1994,3,12/1/94,
Ferdinand Lopez,Secret,Deceased,Male,Bad,,,,Blue,Black,,Marvel,1985,19,2/1/85,
Abraham Kieros,Secret,Living,Male,Neutral,,,,Blue,Brown,,Marvel,1986,19,12/1/86,
Bartholomew Jones,No Dual,Living,Male,,,,,Blue,Brown,,Marvel,1986,19,3/1/86,
Craig Saunders Jr.,Public,Living,Male,Bad,,,,Blue,White,,Marvel,1986,19,3/1/86,
Mick,Public,Living,Male,Good,,,,,Black,,Marvel,1986,19,7/1/86,son of Ruby
Stephen Beckley,Public,Living,Male,Good,,,,Blue,Brown,,Marvel,1987,19,2/1/87,
Dreamqueen,Secret,Living,Female,Bad,,,,Yellow,Green,,Marvel,1988,19,3/1/88,
Fantasia,Secret,Living,Female,,,,,Red,Bald,,Marvel,1989,19,4/1/89,
Garthan Saal,,Deceased,Male,Good,,,,White,Black,,Marvel,1989,19,3/1/89,
Mephista,Secret,Living,Female,Neutral,,,,Orange,Black,,Marvel,1989,19,8/1/89,
Victor Strange,Secret,Deceased,Male,Good,,,,Blue,Brown,,Marvel,1989,19,11/1/89,
Meryet Karim,Secret,Living,Female,Neutral,,,,Yellow,Black,,Marvel,1990,19,10/1/90,
Prometheus,Secret,Living,Male,Good,,,,Brown,Black,,Marvel,1990,19,4/1/90,Pantheon
Prometheus,Public,Living,Male,Good,,,,,Brown,,Marvel,1987,8,8/1/87,
Prometheus,Secret,Deceased,Male,Bad,,,,Blue,White,,DC,1998,34,2/1/98,
Albert,No Dual,Living,Male,Neutral,,,,Red,Black,,Marvel,1991,19,3/1/91,
Ginger Beach,Public,Living,Female,Good,,,,,Auburn,,Marvel,1991,19,9/1/91,
Infinity,Secret,Living,,Neutral,,,,Red,,,Marvel,1991,19,7/1/91,Entity
Infinity,No Dual,Living,Male,Bad,,,,,,,Marvel,1971,4,2/1/71,Odin
Infinity,Secret,Living,Female,Good,,,,,,,DC,2008,8,3/1/08,
Nathan Taylor,Secret,Living,Male,Good,,,,Blue,Blond,,Marvel,1991,19,3/1/91,
Edward Dyson,Secret,Living,Male,Good,,,,,Brown,,Marvel,1992,19,11/1/92,
Leona McBride,Secret,Living,Female,Good,,,,,Black,,Marvel,1992,19,6/1/92,
Michael Jeffries,Public,Deceased,Male,Good,,,,,Brown,,Marvel,1992,19,10/1/92,
Adam Destine,Secret,Living,Male,,,,,,Blond,,Marvel,1994,19,10/1/94,
George Baker,Secret,Living,Male,Bad,,,,Red,Bald,,Marvel,1994,19,11/1/94,
Izo,,Living,Male,Good,,,,White,White,,Marvel,1996,19,3/1/96,
Chesbro,,Living,Male,Bad,,,,,Bald,,Marvel,1997,19,1/1/97,
Edward McDonough,Secret,Deceased,Male,Good,,,,Brown,Brown,,Marvel,1998,19,9/1/98,
Nahrees,Public,Living,Female,,,,,White,Black,,Marvel,1998,19,12/1/98,
Nakia,Secret,Living,Female,Bad,,,,Brown,Black,,Marvel,1998,19,11/1/98,
Katherine Farrell,Public,Living,Female,Good,,,,,Red,,Marvel,2002,19,6/1/02,
Isaiah Bradley,Secret,Living,Male,Good,,,,Brown,Bald,,Marvel,2003,19,1/1/03,
Lorelei Travis,Public,Living,Female,Neutral,,,,Green,Pink,,Marvel,2004,19,7/1/04,
Praxagora,Public,Deceased,Female,Good,,,,Blue,Bald,,Marvel,2006,19,7/1/06,
Profile,Secret,Living,Male,Bad,,,,Brown,Brown,,Marvel,2006,19,7/1/06,
Hui Lin,Secret,Living,Male,Good,,,,Brown,Black,,Marvel,2007,19,5/1/07,
James Wa,Public,Living,Male,Good,,,,Brown,Black,,Marvel,2007,19,2/1/07,
Li Hua,,Deceased,Female,Good,,,,Brown,Black,,Marvel,2007,19,10/1/07,
Aleksandra Nikolaevna,Secret,Deceased,Female,Bad,,,,Blue,Black,,Marvel,2008,19,10/1/08,
Alisande Morales,No Dual,Living,Female,Good,,,,,Black,,Marvel,2008,19,5/1/08,
Anti-Venom,,Deceased,Agender,Good,Symbiote,229,358,Red,Bald,,Marvel,2008,19,10/1/08,Symbiote
Screwball,Secret,Living,Female,Neutral,,,,Blue,Purple,,Marvel,2008,19,7/1/08,
Adam Brashear,Secret,Living,Male,Good,,,,Brown,Black,,Marvel,2009,19,1/1/09,
Annie,Secret,Living,Female,Good,,,,Green,Red,,Marvel,2011,19,5/1/11,LMD
Annie,Secret,Living,Female,Good,,,,Brown,Black,,Marvel,2010,4,2/1/10,Noh-Varr
Annie,Secret,Living,Female,Good,,,,Brown,Black,,Marvel,,4,,"Noh-Varr, Construct"
Annie,Public,Living,Female,,,,,Brown,Red,,Marvel,2011,,1/1/11,Noh-Varr's Girlfriend
Drusilla,Public,Living,Female,Good,,,,Black,Black,,Marvel,2013,19,2/1/13,
Tamara Devoux,Public,Living,Female,Good,,,,Brown,Black,,Marvel,2013,19,2/1/13,
Shogo Lee,No Dual,Living,Male,Neutral,,,,Brown,Black,,Marvel,,19,,
Zar,No Dual,Living,Male,Good,,,,Black,Brown,,Marvel,1939,18,10/1/39,
Zar,No Dual,Living,Male,Bad,,,,,White,,Marvel,1942,1,12/1/42,Nowhere
Dynamic Man,Secret,Deceased,Male,Bad,,,,Blue,Blond,,Marvel,1940,18,3/1/40,
John Steele,No Dual,Deceased,Male,Good,,,,Brown,Black,,Marvel,1940,18,1/1/40,American Soldier
John Steele,,Deceased,Male,,,,,,,,Marvel,2006,1,5/1/06,Sentinel Squad O*N*E
Della Mason,No Dual,Living,Female,Bad,,,,,Black,,Marvel,1948,18,8/1/48,
Fenris Wolf,Public,Living,Male,Bad,,,,Red,Black,,Marvel,1965,18,3/1/65,
Norton McCoy,,Living,Male,Good,,,,Blue,Brown,,Marvel,1965,18,12/1/65,
Bast,No Dual,Living,Female,Neutral,,,,Green,Black,,Marvel,1966,18,7/1/66,Goddess
Bast,Secret,Living,Female,,,,,,,,DC,1991,19,3/1/91,
Theodore Roberts,Public,Living,Male,Neutral,,,,Blue,Brown,,Marvel,1966,18,9/1/66,
Franz Cadavus,,Living,Male,Bad,,,,,Blond,,Marvel,1968,18,6/1/68,
Paul Destine,Secret,Deceased,Male,Bad,,,,Blue,Brown,,Marvel,1968,18,3/1/68,
Alex Nevsky,Secret,Deceased,Male,Bad,,,,Brown,Brown,,Marvel,1969,18,7/1/69,
Mindy McPherson,No Dual,Living,Female,Neutral,,,,,Black,,Marvel,1969,18,11/1/69,
"Clark Savage, Jr.",No Dual,Living,Male,Good,,,,,Bronze,,Marvel,1972,18,10/1/72,
Dakimh,,Deceased,Male,Good,,,,,White,,Marvel,1973,18,6/1/73,
John D. Armbruster,Public,Living,Male,Good,,,,,,,Marvel,1973,18,6/1/73,
Dweller-in-Darkness,Secret,Living,Male,Bad,,,,Yellow,Bald,,Marvel,1974,18,11/1/74,
Lloyd Bloch,Public,Deceased,Male,,,,,Blue,Blond,,Marvel,1974,18,1/1/74,
Lloyd Bloch,Public,Living,Male,Bad,,,,,,,Marvel,2002,6,2/1/02,Heroes Reborn
Yagzan,Secret,Living,Male,Bad,,,,Black,Bald,,Marvel,1974,18,8/1/74,
Alexandra Rasputina,Secret,Deceased,Female,Neutral,,,,Blue,Grey,,Marvel,1975,18,5/1/75,
Horus,Public,Living,Male,Neutral,,,,Brown,Bald,,Marvel,1975,18,9/1/75,Deity
Horus,Public,Living,Male,Good,,,,,,,DC,2007,1,3/1/07,
Krakoa,Secret,Living,,Neutral,,,,,Bald,,Marvel,1975,18,5/1/75,
Krakoa,,Deceased,,Bad,,,,Red,Bald,,Marvel,2012,3,8/1/12,Sinister London
Krakoa,Secret,Deceased,,Bad,,,,Green,Bald,,Marvel,2010,1,2/1/10,Brood Clone
Nathaniel Alexander Byrd,Public,Living,Male,Good,,,,,,,Marvel,1975,18,5/1/75,
Norma Astrovik,Public,Living,Female,Neutral,,,,,Brown,,Marvel,1975,18,7/1/75,
Werner Schmidt,Secret,Deceased,Male,Bad,,,,Red,Bald,,Marvel,1975,18,10/1/75,Brain Drain
Werner Schmidt,Secret,Deceased,Male,Bad,,,,,Black,,Marvel,1975,4,5/1/75,ICON
Aaron English,Public,Living,Male,Good,,,,,Strawberry Blond,,Marvel,1977,18,9/1/77,
Aaron Salomon,Secret,Living,Male,Bad,,,,Green,Bald,,Marvel,1977,18,11/1/77,
Barton Hamilton,Secret,Deceased,Male,Bad,,,,Blue,Black,,Marvel,1977,18,4/1/77,
Kingo Sunen,Public,Living,Male,Good,,,,,Black,,Marvel,1977,18,5/1/77,
Nykonn,,Living,,Bad,,,,,,,Marvel,1977,18,6/1/77,
Hoder Villison,Secret,Living,Male,Good,,,,White,White,,Marvel,1978,18,8/1/78,
Jackson Weele,Secret,Living,Male,,,,,Brown,Grey,,Marvel,1978,18,7/1/78,
Jonathan Drew,Public,Deceased,Male,Neutral,,,,Brown,Black,,Marvel,1978,18,4/1/78,
Jonathan Drew,Secret,Living,Male,,,,,,,,DC,1976,19,2/1/76,
Alejandro Montoya,Secret,Living,Male,Good,,,,Brown,Black,,Marvel,1979,18,8/1/79,
Necromon,,Living,Male,Bad,,,,Red,,,Marvel,1979,18,12/1/79,
Asmodeus,Secret,Deceased,Male,Bad,,,,Yellow,Black,,Marvel,1981,18,2/1/81,Demon
Asmodeus,No Dual,Living,Male,Neutral,,,,Yellow,Bald,,Marvel,1971,2,12/1/71,Inhuman
Asmodeus,,Living,,Bad,,,,,,,Marvel,1979,1,12/1/79,Enclave
Asmodeus,,Living,Male,Bad,,,,,,,Marvel,1983,,3/1/83,Agent of Morning Star
Asmodeus,,Living,Male,Bad,,,,,,,DC,1981,1,7/1/81,
Carter Blaire,No Dual,Deceased,Male,Neutral,,,,Blue,Black,,Marvel,1981,18,3/1/81,
Hamilton Slade,Secret,Deceased,Male,Good,,,,Blue,Blond,,Marvel,1981,18,5/1/81,Rider
Hamilton Slade,Secret,Deceased,Male,Bad,,,,Red,Red,,Marvel,2006,4,4/1/06,Vampire
Agnar of Vanaheim,Secret,Living,Male,Good,,,,,Black,,Marvel,1983,18,12/1/83,
Doug Thompson,Public,Deceased,Male,Good,,,,,Brown,,Marvel,1983,18,9/1/83,
Gardner Monroe,Secret,Living,Male,Bad,,,,Grey,Black,,Marvel,1983,18,8/1/83,
Gayle Watson,No Dual,Living,Female,Good,,,,,Brown,,Marvel,1983,18,11/1/83,
Plague,Secret,Deceased,Female,Bad,,,,,Brown,,Marvel,1983,18,5/1/83,
Thomas Lennox,Secret,Deceased,Male,Good,,,,Brown,Black,,Marvel,1983,18,3/1/83,
Alton Vibereaux,Public,Living,Male,Bad,,,,Blue,Black,,Marvel,1984,18,9/1/84,
Manslaughter,Secret,Living,Male,Bad,,,,Blue,,,Marvel,1984,18,7/1/84,
Keiv,Public,Living,Male,,,,,,Bald,,Marvel,1985,18,8/1/85,
Mongoose,Secret,Living,Male,Bad,,,,Brown,Bald,,Marvel,1986,18,12/1/86,
Mongoose,Secret,Living,Male,Bad,,,,,Grey,,Marvel,1943,1,12/1/43,Nazi
Robin Braxton,Public,Living,Female,Neutral,,,,Green,Red,,Marvel,1986,18,3/1/86,
Mister Jip,Secret,Living,Male,Bad,,,,Red,White,,Marvel,1987,18,11/1/87,
Buck Cashman,Secret,Living,Male,Neutral,,,,Brown,Brown,,Marvel,1988,18,1/1/88,
Eduardo Lobo,Public,Deceased,Male,,,,,Blue,Black,,Marvel,1988,18,10/1/88,
Takashi Matsuya,Public,Living,Male,,,,,Brown,Black,,Marvel,1988,18,10/1/88,
Teresa Vasquez,Secret,Living,Female,Bad,,,,Brown,Black,,Marvel,1988,18,1/1/88,
Albert Cleary,No Dual,Living,Male,,,,,Brown,Brown,,Marvel,1989,18,5/1/89,
Bliss,Secret,Living,Female,Neutral,,,,,Bald,,Marvel,1990,18,5/1/90,Morlock
Fin,Secret,Living,Male,Good,,,,Brown,Black,,Marvel,1990,18,6/1/90,Intruders
Samantha Joyce,Public,Living,Female,,,,,,Black,,Marvel,1990,18,2/1/90,
Gary Paretsky,Public,Living,Male,Good,,,,,Brown,,Marvel,1991,18,10/1/91,
Neal Saroyan,Public,Deceased,Male,Neutral,,,,Blue,Black,,Marvel,1991,18,9/1/91,
Cyttorak,Secret,Living,Male,Bad,,,,Variable,Variable,,Marvel,1992,18,8/1/92,
John Wraith,No Dual,Deceased,Male,Neutral,,183,88,Brown,Bald,,Marvel,1992,18,9/1/92,
Korath-Thak,Public,Deceased,Male,Bad,,,,Blue,Bald,,Marvel,1992,18,3/1/92,
Pilgrim,Secret,Deceased,Female,Bad,,,,,Black,,Marvel,1992,18,8/1/92,
Carl Denti,Public,Living,Male,Neutral,,,,Brown,Brown,,Marvel,1993,18,6/1/93,
"Jacob Gavin, Jr.",Secret,Living,Female,Neutral,,,,Blue,Black,,Marvel,1993,18,8/1/93,
Malcolm Murphy,Secret,Living,Male,Neutral,,,,Green,Orange,,Marvel,1993,18,1/1/93,
Noah DuBois,Public,Deceased,Male,,,,,Brown,Black,,Marvel,1993,18,4/1/93,
Mister Nacht,Secret,Living,Male,Bad,,,,,,,Marvel,1994,18,10/1/94,
Kevin Tremain,Secret,Deceased,Male,Bad,,,,Red,Black,,Marvel,1996,18,3/1/96,
Gator,Secret,Deceased,Male,Good,,,,Yellow Eyeballs,Bald,,Marvel,1997,18,10/1/97,
Lord Tyger,Secret,Deceased,Male,Good,,,,,Orange,,Marvel,1997,18,11/1/97,
John Ryker,Public,Living,Male,,,,,Brown,Grey,,Marvel,2000,18,3/1/00,
Pixie,Secret,Living,Female,Good,,,,Blue,Red,,Marvel,2000,18,3/1/00,First Line
Pixie,Secret,Living,Female,Neutral,,,,,Brown,,Marvel,1991,1,1/1/91,Morlocks
Davis Cameron,Secret,Living,Male,,,,,Blue,Blond,,Marvel,2001,18,12/1/01,
Wild Sentinels,Public,Living,,Bad,,,,,,,Marvel,2001,18,7/1/01,
Evangeline Whedon,Public,Living,Female,Good,,,,Blue,Black,,Marvel,2003,18,4/1/03,
Kiden Nixon,Secret,Living,Female,Neutral,,,,Blue,Brown,,Marvel,2003,18,11/1/03,
Ultimaton,Secret,Living,Male,Good,,,,,Bald,,Marvel,2003,18,8/1/03,
Gilberto Corazon,Public,Deceased,Male,Good,,,,Black,Black,,Marvel,2004,18,8/1/04,
Ismael Ortega,No Dual,Living,Male,Good,,,,,Black,,Marvel,2004,18,7/1/04,
Miguel Legar,,Living,Male,Good,,,,Brown,Black,,Marvel,2004,18,8/1/04,
Ord,Secret,Deceased,Male,Bad,,,,Red,Black,,Marvel,2004,18,7/1/04,Breakworld
Patrick Mulligan,Secret,Deceased,Male,Good,,,,Green,Brown,,Marvel,2004,18,9/1/04,
Titannus,,Living,Male,Bad,,,,Green,Bald,,Marvel,2005,18,1/1/05,Earth-5012
Titannus,,Living,Male,Bad,,,,Green,Bald,,Marvel,2005,,1/1/05,
Angmo-Asan,Public,Living,Male,Bad,,,,,Bald,,Marvel,2006,18,4/1/06,
Demetrius Lazer,Public,Deceased,Male,Bad,,,,Grey,Black,,Marvel,2006,18,1/1/06,
Kimura,Public,Living,Female,,,,,Green,Black,,Marvel,2006,18,12/1/06,
Crosta,No Dual,Living,Male,Good,,,,Black,Bald,,Marvel,2009,18,6/1/09,
Janice Lincoln,Secret,Living,Female,Neutral,,,,Black,Black,,Marvel,2010,18,8/1/10,
Walter Macken,No Dual,Living,Male,Good,,,,,,,Marvel,2010,18,9/1/10,
Maximilian Frankenstein,Public,Living,Male,Bad,,,,Blue,Blond,,Marvel,2011,18,9/1/11,
Lucky,No Dual,Living,Male,Good,,,,Brown,,,Marvel,2012,18,10/1/12,
Ex Nihilo,No Dual,Living,Male,Good,,,,Green,Bald,,Marvel,2013,18,2/1/13,
Scott Adsit,No Dual,Living,Male,Good,,,,Black,Bald,,Marvel,2013,18,1/1/13,
Leila Davis,Public,Deceased,Female,Neutral,,,,Blue,Black,,Marvel,,18,,
Earl Everett,Secret,Living,Male,Good,,,,Brown,Brown,,Marvel,1940,17,4/1/40,
Valkin,Secret,Living,Male,Good,,,,Blue,Black,,Marvel,1940,17,8/1/40,
Peter Noble,Secret,Living,Male,Good,,,,Brown,Brown,,Marvel,1941,17,4/1/41,
Pepper Burns,Public,Living,Male,Good,,,,,Red,,Marvel,1943,17,12/1/43,
Mary Mitchell,Public,Living,Female,Good,,,,Blue,Blond,,Marvel,1948,17,8/1/48,
Emilio Diaz,Public,Living,Male,Good,,,,,Black,,Marvel,1951,17,1/1/51,
Whirlwind,Public,Living,Male,Good,,,,,,,Marvel,1954,17,12/1/54,Horse
Elendil,,Living,,,,,,Red,Black,,Marvel,1964,17,2/1/64,
Skuld,No Dual,Living,Female,Good,,,,,,,Marvel,1964,17,3/1/64,
Edna Andrews,,Living,Female,Good,,,,Blue,Brown,,Marvel,1965,17,12/1/65,
Francois Le Blanc,Secret,Deceased,Male,Bad,,,,,,,Marvel,1965,17,10/1/65,
Humanoids,Secret,Living,,Bad,,,,,,,Marvel,1965,17,1/1/65,Leader
Maa-Gor,Public,Living,Male,Bad,,,,,,,Marvel,1965,17,3/1/65,
Dredmund Cromwell,Public,Living,Male,Bad,,,,Brown,Black,,Marvel,1966,17,5/1/66,
Volla,Secret,Deceased,Female,Good,,,,Silver,White,,Marvel,1966,17,4/1/66,
Raniero Drago,Public,Living,Male,Bad,,,,Brown,Black,,Marvel,1967,17,5/1/67,
Angelo Baldini,,Living,Male,,,,,,,,Marvel,1968,17,6/1/68,
Eric Gruning,,Deceased,Male,,,,,,,,Marvel,1968,17,6/1/68,
Gor-Tok,Public,Living,Male,Bad,,,,Brown,Brown,,Marvel,1968,17,2/1/68,
Ivan Krushki,Public,Living,Male,Bad,,,,,Grey,,Marvel,1968,17,6/1/68,
Lemuel Dorcas,No Dual,Living,Male,Bad,,,,Blue,Brown,,Marvel,1968,17,9/1/68,
Torgo,No Dual,Living,Male,Neutral,,,,Red,Bald,,Marvel,1969,17,10/1/69,Mekkan
Noah Perricone,Secret,Living,Male,Bad,,,,Green,,,Marvel,1970,17,1/1/70,
Ellen Brandt,No Dual,Living,Female,Neutral,,,,,Brown,,Marvel,1971,17,5/1/71,
Gog,Secret,Living,Male,Bad,,,,Yellow,Blond,,Marvel,1971,17,12/1/71,Tsiln
Gog,,Living,Male,Bad,,,,,Grey,,Marvel,2009,1,11/1/09,Deity
Andrew Blodgett Mayfair,No Dual,Living,Male,Good,,,,,Red,,Marvel,1972,17,10/1/72,
Krista,No Dual,Living,Female,Good,,,,Blue,Blond,,Marvel,1973,17,11/1/73,
Snake Dance,,Living,Male,Neutral,,,,,Black,,Marvel,1973,17,2/1/73,
Candace Nelson,No Dual,Living,Female,Good,,,,,,,Marvel,1974,17,3/1/74,
Hugh Jones,No Dual,Living,Male,Bad,,,,,Black,,Marvel,1974,17,12/1/74,
Katherine Reynolds,Public,Living,Female,,,,,Blue,Blond,,Marvel,1974,17,3/1/74,
Ward Meachum,,Deceased,Male,Bad,,,,,White,,Marvel,1974,17,11/1/74,
Kray-Tor,Public,Deceased,Male,,,,,,Bald,,Marvel,1975,17,6/1/75,
Lisa Castle,Public,Deceased,Female,Neutral,,,,Brown,Blond,,Marvel,1975,17,8/1/75,
Maria Castle,,Deceased,Female,Neutral,,,,Brown,Blond,,Marvel,1975,17,8/1/75,
Mimir,No Dual,Living,Male,Neutral,,,,Red,Bald,,Marvel,1975,17,10/1/75,
Osiris,Public,Living,Male,Neutral,,,,Brown,Brown,,Marvel,1975,17,9/1/75,
Osiris,,Living,Male,Good,,,,Brown,Brown,,DC,1994,8,3/1/94,
Tode,No Dual,Living,Male,Bad,,,,,Bald,,Marvel,1976,17,7/1/76,
Katherine Summers,Public,Deceased,Female,Good,,,,Blue,Blond,,Marvel,1977,17,12/1/77,
Rodney Kemp,,Deceased,Male,Bad,,,,,,,Marvel,1977,17,8/1/77,
Ross Horton,Public,Living,Male,Bad,,,,,,,Marvel,1977,17,6/1/77,
Uni-Mind,Secret,Living,,Good,,,,Yellow,Bald,,Marvel,1977,17,6/1/77,
Helmut Gruler,Secret,Deceased,Male,Good,,,,Blue,Black,,Marvel,1978,17,12/1/78,
Hugh Howards,,Living,Male,Good,,,,,,,Marvel,1978,17,1/1/78,
Mister Chambers,Secret,Living,Male,Bad,,,,,Red,,Marvel,1978,17,1/1/78,
Jonathan Clark,Public,Deceased,Male,Good,,,,,Black,,Marvel,1979,17,12/1/79,
Doris Urich,No Dual,Deceased,Female,,,,,,Brown,,Marvel,1980,17,3/1/80,
Hellhounds,,Living,,Bad,,,,,,,Marvel,1980,17,4/1/80,
Atum,Secret,Living,Male,Neutral,,,,Red,Bald,,Marvel,1982,17,10/1/82,
Bereet,No Dual,Living,Female,,,,,Red,Bald,,Marvel,1982,17,3/1/82,
Brendon Doyle,Secret,Living,Male,Bad,,,,Blue,Red,,Marvel,1982,17,3/1/82,
Leonard Hebb,Public,Living,Male,Good,,,,Brown,Black,,Marvel,1982,17,7/1/82,
Biotron II,No Dual,Living,,Good,,,,,,,Marvel,1984,17,5/1/84,
Jester IV,Public,Living,Male,Neutral,,,,,Green,,Marvel,1984,17,4/1/84,
Microtron II,,Living,,,,,,,,,Marvel,1984,17,5/1/84,
Candi,,Living,Female,,,,,,,,Marvel,1985,17,2/1/85,
Kofi Whitemane,Secret,Living,Male,Good,,,,Pink,Black,,Marvel,1985,17,10/1/85,
Jalome Beacher,Secret,Deceased,Male,Bad,,,,Brown,Black,,Marvel,1986,17,1/1/86,
Buck Chisholm,Secret,Deceased,Male,Neutral,,,,Brown,Brown,,Marvel,1987,17,12/1/87,
Nenora,Secret,Deceased,Female,Bad,,,,,Black,,Marvel,1987,17,12/1/87,
Carlton Drake,Secret,Living,Male,Bad,,,,,Brown,,Marvel,1988,17,3/1/88,
Matthew Plunder,Public,Living,Male,Good,,,,Green,Blond,,Marvel,1988,17,10/1/88,
Matthew Plunder,,Deceased,Male,Good,,,,,Blond,,Marvel,2000,4,4/1/00,Clone
Eric Savin,Secret,Living,Male,,,,,Blue,Black,,Marvel,1989,17,8/1/89,
Mikel Fury,Secret,Deceased,Male,Good,,,,Blue,Brown,,Marvel,1989,17,8/1/89,
Zanti Chikane,No Dual,Living,Male,Good,,,,,Black,,Marvel,1989,17,4/1/89,
Kurt Gerhardt,Secret,Living,Male,Bad,,,,Brown,Brown,,Marvel,1990,17,10/1/90,
Buford Wilson,Secret,Deceased,Male,Bad,,,,Blue,Blond,,Marvel,1991,17,3/1/91,
St. Johnny,No Dual,Deceased,Male,,,,,,,,Marvel,1991,17,3/1/91,
Ernst Sablinova,Secret,Living,Male,Good,,,,Blue,Silver,,Marvel,1992,17,6/1/92,
Kodiak,Secret,Living,Male,Good,,,,,,,Marvel,1992,17,11/1/92,
Oonagh Mullarkey,,Living,Female,Bad,,,,,Black,,Marvel,1992,17,6/1/92,
Oonagh Mullarkey,Secret,Living,Female,Good,,,,,Black,,Marvel,1993,4,11/1/93,Plasmer
Scott Washington,Secret,Deceased,Male,Good,,,,Brown,Black,,Marvel,1992,17,3/1/92,
Theodore Winchester,,Deceased,Male,Good,,,,Yellow,,,Marvel,1992,17,3/1/92,
Wyre,Secret,Living,Male,Good,,,,Brown,Brown,,Marvel,1992,17,11/1/92,
Maxwell Taylor,Secret,Living,Male,Good,,,,,Blond,,Marvel,1993,17,3/1/93,
Scream,,Living,,Neutral,,,,,,,Marvel,1993,17,5/1/93,Symbiote
Bathsheva Joseph,No Dual,Deceased,Female,Good,,,,,,,Marvel,1994,17,5/1/94,
Blitziana,Secret,Living,Female,Good,,,,White,Gold,,Marvel,1994,17,3/1/94,
Cathy Webster,Secret,Living,Female,Good,,,,Blue,Blond,,Marvel,1994,17,9/1/94,
Medea,Secret,Living,Female,Bad,,,,,Black,,Marvel,1994,17,10/1/94,
Semiramis,Secret,Living,Female,Bad,,,,Yellow,White,,Marvel,1994,17,1/1/94,
Ryder,Secret,Living,Male,Good,,,,,Black,,Marvel,1995,17,9/1/95,
Fang,Secret,Deceased,Male,Neutral,,,,Brown,Brown,,Marvel,1996,17,1/1/96,Replacement
Fang,Secret,Deceased,Male,Neutral,,,,Brown,Brown,,Marvel,1977,12,10/1/77,Imperial Guard
Fang,,Living,Male,,,,,,Brown,,Marvel,1992,6,9/1/92,Lilin
